YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2016,2016-01-10,21500561,HOU,107.0,IND,103.0,0.438,0.478,0.652,0.8,0.368,0.29,24.0,33.0,49.0,39.0,22.0,18.0,,HOU,1.0
2016,2016-01-10,21500562,NYK,100.0,MIL,88.0,0.464,0.4,0.833,0.7,0.292,0.231,25.0,19.0,43.0,42.0,11.0,11.0,,NYK,1.0
2016,2016-01-10,21500563,DEN,95.0,CHA,92.0,0.416,0.361,0.826,0.833,0.444,0.333,25.0,24.0,44.0,40.0,13.0,12.0,,DEN,1.0
2016,2016-01-10,21500564,POR,115.0,OKC,110.0,0.42,0.487,0.857,0.722,0.432,0.476,27.0,23.0,52.0,42.0,16.0,19.0,,POR,1.0
2016,2016-01-10,21500565,LAL,74.0,UTA,86.0,0.326,0.449,0.867,0.76,0.143,0.313,15.0,16.0,41.0,45.0,11.0,14.0,,LAL,0.0
2016,2016-01-11,21500566,BKN,79.0,SAS,106.0,0.452,0.537,0.846,0.737,0.167,0.308,15.0,27.0,30.0,40.0,15.0,12.0,,BKN,0.0
2016,2016-01-11,21500567,CHI,100.0,WAS,114.0,0.42,0.485,0.852,0.9,0.409,0.375,18.0,31.0,44.0,43.0,16.0,9.0,,CHI,0.0
2016,2016-01-11,21500568,GSW,111.0,MIA,103.0,0.477,0.451,0.733,0.875,0.304,0.368,25.0,31.0,49.0,47.0,9.0,10.0,,GSW,1.0
2016,2016-01-12,21500569,IND,116.0,PHX,97.0,0.519,0.404,0.774,0.63,0.417,0.32,25.0,24.0,41.0,45.0,13.0,18.0,,IND,1.0
2016,2016-01-12,21500570,DET,99.0,SAS,109.0,0.418,0.482,0.654,0.815,0.261,0.357,22.0,20.0,41.0,49.0,12.0,17.0,,DET,0.0
2016,2016-01-12,21500571,NYK,120.0,BOS,114.0,0.531,0.488,0.9,0.808,0.35,0.31,24.0,25.0,39.0,42.0,11.0,9.0,,NYK,1.0
2016,2016-01-12,21500572,MEM,91.0,HOU,107.0,0.458,0.429,0.75,0.852,0.389,0.514,22.0,21.0,31.0,42.0,17.0,14.0,,MEM,0.0
2016,2016-01-12,21500573,MIL,106.0,CHI,101.0,0.462,0.412,0.607,0.792,0.231,0.414,28.0,22.0,40.0,57.0,5.0,17.0,,MIL,1.0
2016,2016-01-12,21500574,MIN,96.0,OKC,101.0,0.444,0.464,0.739,0.778,0.389,0.409,22.0,21.0,45.0,41.0,18.0,16.0,,MIN,0.0
2016,2016-01-12,21500575,DAL,107.0,CLE,110.0,0.494,0.412,0.818,0.813,0.393,0.386,25.0,28.0,44.0,46.0,16.0,9.0,,DAL,0.0
2016,2016-01-12,21500576,LAL,95.0,NOP,91.0,0.368,0.418,0.781,0.643,0.207,0.261,16.0,20.0,47.0,51.0,8.0,11.0,,LAL,1.0
2016,2016-01-13,21500577,CHA,107.0,ATL,84.0,0.439,0.37,0.846,0.81,0.333,0.28,26.0,17.0,54.0,37.0,16.0,16.0,,CHA,1.0
2016,2016-01-13,21500578,WAS,106.0,MIL,101.0,0.452,0.528,0.75,0.706,0.444,0.125,27.0,23.0,30.0,47.0,16.0,27.0,,WAS,1.0
2016,2016-01-13,21500579,BKN,110.0,NYK,104.0,0.523,0.451,0.786,0.652,0.529,0.318,24.0,19.0,45.0,47.0,15.0,13.0,,BKN,1.0
2016,2016-01-13,21500580,BOS,103.0,IND,94.0,0.444,0.407,0.7,0.75,0.346,0.167,24.0,18.0,49.0,48.0,19.0,17.0,,BOS,1.0
2016,2016-01-13,21500581,HOU,107.0,MIN,104.0,0.493,0.462,0.684,0.8,0.233,0.471,19.0,25.0,39.0,43.0,16.0,20.0,,HOU,1.0
2016,2016-01-13,21500582,OKC,108.0,DAL,89.0,0.463,0.39,0.586,0.76,0.455,0.194,24.0,18.0,54.0,41.0,18.0,16.0,,OKC,1.0
2016,2016-01-13,21500583,DEN,112.0,GSW,110.0,0.425,0.477,0.892,0.8,0.227,0.385,22.0,25.0,49.0,39.0,13.0,13.0,,DEN,1.0
2016,2016-01-13,21500584,POR,99.0,UTA,85.0,0.443,0.408,0.667,0.682,0.423,0.421,25.0,20.0,54.0,38.0,13.0,14.0,,POR,1.0
2016,2016-01-13,21500585,SAC,97.0,NOP,109.0,0.488,0.42,0.643,0.818,0.261,0.485,21.0,27.0,52.0,45.0,18.0,7.0,,SAC,0.0
2016,2016-01-13,21500586,LAC,104.0,MIA,90.0,0.426,0.443,0.813,0.655,0.44,0.375,26.0,26.0,43.0,49.0,7.0,23.0,,LAC,1.0
2016,2016-01-14,21500588,ORL,103.0,TOR,106.0,0.454,0.411,0.75,0.774,0.391,0.333,28.0,20.0,46.0,47.0,15.0,10.0,,ORL,0.0
2016,2016-01-14,21500587,PHI,111.0,CHI,115.0,0.452,0.466,0.75,0.839,0.444,0.412,23.0,17.0,34.0,53.0,12.0,23.0,,PHI,0.0
2016,2016-01-14,21500589,MEM,103.0,DET,101.0,0.487,0.514,0.8,0.706,0.563,0.469,21.0,18.0,29.0,35.0,15.0,20.0,,MEM,1.0
2016,2016-01-14,21500590,SAS,99.0,CLE,95.0,0.458,0.463,0.818,0.818,0.294,0.385,17.0,15.0,45.0,43.0,11.0,17.0,,SAS,1.0
2016,2016-01-14,21500591,UTA,101.0,SAC,103.0,0.422,0.459,0.735,0.714,0.176,0.455,12.0,19.0,38.0,54.0,13.0,15.0,,UTA,0.0
